Name,Location,Year,Combustible,Kilometers,Transmission,Power [CV],Price [€],Financed Price,Dealer,Dealer Rating (over 5)
PORSCHE Cayman PDK,Barcelona,2015, Gasolina,39.000,Automático,275,46.950,Con financiación,n/a,n/a
PEUGEOT 2008 1.6 BlueHDI S&S Allure EAT6 120,Zaragoza,2018, Diésel,36.211,Automático,120,16.300,Con financiación,n/a,n/a
KIA XCeed DRIVE,Pontevedra,2020, Diésel,52.890,Manual,115,18.900,Con financiación,TALLERES HERMINDO,"3,5"
SEAT León ST 1.6TDI CR S&S Style 105,Alicante,2014, Diésel,197.400,Manual,105,7.990,Sin financiación,AUTOMÓVILES CARRUS,"4,0"
VOLVO XC40 D4 Momentum AWD Aut.,Barcelona,2018, Diésel,49.046,Automático,190,32.300,Sin financiación,CarNext.com Barcelona,"3,0"
MERCEDES-BENZ Clase GLA 220d 7G-DCT 177,Pontevedra,2018, Diésel,59.968,Automático,177,29.490,Con financiación,TALLERES HERMINDO,"3,5"
CITROEN C4 GRAND PICASSO 1.2 PURETECH 96KW S&S RIP CURL 130 5P,Cantabria,2018, Gasolina,66.000,Manual,130,15.990,Con financiación,"AUTO NORTE, concesionario y servicio oficial","4,5"
BMW Serie 3 335dA Coupé,Vizcaya,2007, Diésel,194.000,Automático,286,15.500,Sin financiación,MERKEAUTO,"3,5"
PEUGEOT 208 1.6BlueHDi Access 75,Ciudad Real,2016, Diésel,140.000,Manual,75,7.950,Con financiación,JEREZAUTO,"5,0"
PORSCHE Panamera S e-Hybrid Tiptronic,Girona,2014, Híbrido Enchufable,100.000,Automático,416,58.000,Sin financiación,n/a,n/a
NISSAN Qashqai 2.0 Acenta 4x4,Madrid,2010, Gasolina,156.000,Manual,140,10.900,Sin financiación,n/a,n/a
SEAT León ST 1.5 TSI S&S Xcellence 150,Barcelona,2021, Gasolina,6,Manual,150,24.800,Con financiación,n/a,n/a
BMW Serie 5 520dA,Madrid,2019, Diésel,77.096,Automático,190,36.500,Con financiación,n/a,n/a
VOLKSWAGEN Golf BERLINA 2.0 TDI DSG ADVANCE BLUEMOTION TECH 150 3P,Madrid,2016, Diésel,79.595,Automático,150,16.000,Con financiación,Esmicoche.com,"5,0"
HYUNDAI Kona 150KW EV STYLE 484KM 204 5P,Albacete,2020, Eléctrico,5.468,Automático,204,40.000,Sin financiación,n/a,n/a
MERCEDES-BENZ Clase GL GLC-CLASS 2.1 GLC 220 D AUTO 4MATIC 170 5P,Tarragona,2017, Diésel,65.000,Automático,170,33.975,Con financiación,GO MOTOR.,"4,5"
BMW X5 xDrive 35iA,Barcelona,2011, Gasolina,143.000,Automático,306,22.900,Sin financiación,PARC PAT,"4,0"
SEAT León 1.5 EcoTSI S&S DSG7 FR Fast Edition Plus 150,Barcelona,2020, Gasolina,25.700,Automático,150,21.290,Con financiación,"TAES MOTOR, S.A., concesionario oficial Seat","2,5"
SEAT Tarraco 2.0TDI S&S Xcellence DSG 4Drive 190,Barcelona,2019, Diésel,18.700,Automático,190,30.990,Con financiación,"TAES MOTOR, S.A., concesionario oficial Seat","2,5"
